"Source:","C:\Users\Marki004\surfdrive\Afstudeerstage  HPT UU 22-23\PCB\Meetmodule V2.8\Meetmodule V3.kicad_sch"
"Date:","28-2-2023 14:06:20"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","103"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER"
"","","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~","","","",""
"","","C1","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C2","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C3","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C4","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C5","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C6","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C7","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C8","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C9","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C10","10uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C11","10uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C12","1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C13","1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C14","1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C15","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C16","15pF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C17","15pF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C18","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C19","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C20","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C21","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C22","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C23","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C24","1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C25","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C26","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C27","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C28","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C29","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C30","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C31","1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C32","0.1uF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C33","1nF/2kV","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C34","18pF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
"","","C35","18pF","Device:C","HPT:Cap 0402_1005Metric","~","","","",""
